ordered_time,vendor,total_prices,item_detail
12月21日,豪餃子,277,"1x 韓式泡菜冰花鍋貼,1x 韭菜五行水餃,1x 鮮蝦酸辣水餃"
12月16日,12MINI (台北民權東龍江店)*,476,"1x 泰式酸辣鍋 Thai Sour and Spicy Pot,1x 一口酥油條2份 Mini Crispy Bread Stick,1x 泰式酸辣鍋 Thai Sour and Spicy Pot"
12月15日,甘泉魚麵 (台北錦州店),315,"1x 東北酸菜白肉麵,1x 釜山泡菜炙麵(牛)"
12月10日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
12月8日,12MINI (台北民權東龍江店)*,321,"1x 泰式酸辣鍋 Thai Sour and Spicy Pot,1x 大漠孜然鍋 Cumin Pot"
12月6日,北倉洞韓式料理,398,"1x 韓式豬肉豆腐鍋,1x 韓式牛肉豆腐鍋"
12月4日,肯德基KFC炸雞漢堡店 (台北南京東三店),297,2x 青花椒香麻咔啦雞腿漢堡 L 套餐
12月3日,饌味香鍋貼麵食館 (大安忠孝店),312,"1x 宜蘭韭菜鍋貼,1x 韓式泡菜鍋,1x 招牌水餃"
12月1日,郁日式炸豬排,422,"1x 蔥鹽里肌,1x 起司花生,1x 日式炸薯條"
11月28日,拉亞漢堡 (北市農安店),327,2x 森永牛奶糖奶茶組
11月27日,三商鮮五丼 (4843台北民權店),310,"1x 牛丼飯套餐,1x 麻婆雙蝦菲力豬排丼,1x 胡麻花椰菜"
11月26日,(極)黃燜雞米飯 (台北寧夏店),437,"1x 酸湯豬,1x 川香麻辣肥腸"
11月25日,麥當勞 (S117 台北民權二店),482,2x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal
於 11月23日,珠麗月比薩屋,482,"1x 七小福及海鮮比薩,1x 皇家及德式咖哩比薩,1x 玉米濃湯"
11月21日,三商鮮五丼 (台北南京店 4801),211,"1x 牛丼飯套餐,1x 麻婆雙蝦菲力豬排丼"
11月20日,三商巧福 (4119民權二店),312,"1x 番茄牛肉麵套餐,1x 牛肉炸醬麵套餐"
11月16日,麥當勞 (S117 台北民權二店),460,2x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal
11月14日,三商鮮五丼 (4843台北民權店),290,"1x 牛丼飯套餐,1x 麻婆雙蝦菲力豬排丼,1x 胡麻花椰菜"
11月13日,樂雅樂 (台北敦化店),385,"2x 紅酒蕃茄牛肉便當(附味噌湯),1x 培根炒時蔬"
11月13日,拉亞漢堡 (北市農安店),326,"1x 森永牛奶糖奶茶組,1x 森永牛奶糖奶茶組"
11月12日,蒸の不一樣,262,"1x 絲瓜鮮肉蒸餃,1x 香菜鮮肉蒸餃,1x 酸辣湯"
11月11日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
11月8日,張記烙餅舖,262,"1x 鮪魚+肉鬆烙餅,1x 培根+起司烙餅,1x 打抛豬肉蛋烙餅"
11月7日,女王漢堡,401,2x 女王漢堡套餐
11月6日,(極)黃燜雞米飯 (台北寧夏店),372,"1x 酸湯豬,1x 川香麻辣肥腸"
11月5日,蒸の不一樣,273,"1x 酸辣湯,1x 招牌菜肉蒸餃,1x 蚵仔煎"
11月3日,12MINI (台北民權東龍江店),356,"1x 酸白菜鍋 Pickled Cabbage Hotpot,1x 泰式酸辣鍋 Thai Sour and Spicy Pot"
10月30日,麥當勞 (S117 台北民權二店),459,2x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal
10月29日,(極)黃燜雞米飯 (台北寧夏店),437,"1x 經典黃燜豬,1x 川香麻辣肥腸"
10月28日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
10月27日,張記烙餅舖,246,"1x 鮪魚+肉鬆烙餅,1x 辣雞丁+九層塔烙餅,1x 鮪魚+玉米烙餅"
10月25日,女王漢堡,506,2x 女王漢堡套餐
10月24日,北倉洞韓式料理,478,"1x 韓式小腸豆腐鍋,1x 韓式豬肉豆腐鍋"
10月22日,(極)黃燜雞米飯 (台北寧夏店),437,"1x 酸湯豬,1x 酸湯魚"
10月20日,Maya Resto Cafe,533,"1x Pz1 Margherita瑪格麗特pizza,1x 6R5	Beef asparagus mushroom 牛肉蘆筍蘑菇"
10月19日,12MINI (台北民權東龍江店),395,"1x 肉骨茶風味鍋 Bak Kut Teh Pot,1x 泰式酸辣鍋 Thai Sour and Spicy Pot"
10月16日,Oh my!原燒 (台北林森北店),374,2x 炙燒骰子牛丼 Broiled Diced Beef Don
10月15日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
10月10日,三商巧福 (4107民權店),213,"1x 番茄牛肉麵套餐,1x 紅燒排骨飯套餐"
10月9日,女王漢堡,506,2x 女王漢堡套餐
10月7日,豪餃子,313,"1x 韭菜冰花鍋貼,1x 玉米冰花鍋貼,1x 韓式泡菜五行水餃"
10月6日,12MINI (台北民權東龍江店),375,"1x 小紅蕃茄鍋 Tomato Pot,1x 檸檬香茅鍋 Lemon Grass Pot with Lemon"
10月6日,Maya Resto Cafe,306,1x 6R5	Beef asparagus mushroom 牛肉蘆筍蘑菇
10月5日,拉亞漢堡 (北市農安店),343,"1x KITKAT巧克力XL勁辣炸雞芝加哥堡組合餐,1x KITKAT巧克力XL勁辣炸雞芝加哥堡組合餐,2x 黃金脆薯"
9月30日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
9月29日,女王漢堡,506,2x 女王漢堡套餐
9月26日,(極)黃燜雞米飯 (台北寧夏店),347,"1x 酸湯豬,1x 酸湯魚"
9月26日,拉亞漢堡 (北市農安店),208,"2x 黃金脆薯,1x 七龍珠Z芝加哥堡套餐,1x 七龍珠Z芝加哥堡套餐"
9月25日,豪餃子,288,"1x 酸辣湯,1x 高麗菜五行水餃,1x 玉米冰花鍋貼"
9月24日,麥當勞 (S117 台北民權二店),424,2x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal
9月23日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
