ordered_time,vendor,total_prices,item_detail
2月18日,麥當勞 (S117 台北民權二店),473,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal"
2月17日,肉老大頂級肉品涮涮鍋 (台北錦西店),629,"1x 酸白菜蕃茄肉品鍋【獨家餐點】微辣,1x 果凍鴨血麻辣肉品鍋【獨家餐點】"
2月16日,Burger Holic漢堡門徒 (台北小巨蛋店),477,"1x 門徒經典牛肉堡套餐 Classic Beef Burger Combo,1x 花生培根牛肉堡套餐 Peanut Butter Beef Burger  Combo"
2月9日,鬍鬚張魯肉飯 (台北吉林店),231,"1x 魯肉飯便當加胭脂梅花肉,1x 筍絲魯,1x 魯肉飯便當加唐山排骨"
2月7日,Maya Resto Cafe,606,"1x Pz6 Truffle Vege Pizza松露蔬菜,1x 6R5	Beef asparagus mushroom 牛肉蘆筍蘑菇"
2月6日,肯德基KFC炸雞漢堡店 (台北南京東三店),427,2x 花生熔岩咔啦雞腿漢堡 XL 套餐
1月29日,Fun rice 放飯 (台北中山店),371,"1x 醬烤雞腿丼飯,1x 醬燒牛丼飯"
1月27日,麥當勞 (S117 台北民權二店),357,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal"
1月24日,三商巧福 (4107民權店),368,"1x 半筋半肉牛肉麵套餐,1x 番茄牛肉麵套餐"
1月22日,麥當勞 (S117 台北民權二店),473,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal"
1月19日,肯德基KFC炸雞漢堡店 (台北雙連店),415,"1x 花生熔岩咔啦雞腿漢堡 XL 套餐,1x 花生熔岩咔啦雞腿漢堡 XL 套餐"
1月15日,麥當勞 (S117 台北民權二店),443,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal"
1月14日,Maya Resto Cafe,672,"1x Pz1 Margherita瑪格麗特pizza,1x 6R5	Beef asparagus mushroom 牛肉蘆筍蘑菇"
1月13日,麥當勞 (S117 台北民權二店),448,"1x 期間限定!帕瑪森安格斯牛肉堡尊爵餐  Parmesan Angus Beef Burger+Large Fries Combo,1x 魔力食光蕈菇安格斯牛肉堡餐 Mushroom Angus Beef Burger Meal"
1月7日,肉老大頂級肉品涮涮鍋 (台北錦西店),499,"1x 果凍鴨血麻辣肉品鍋【獨家餐點】,1x 牛奶肉品鍋【獨家餐點】"
1月5日,肯德基KFC炸雞漢堡店 (台北雙連店),425,"1x 花生熔岩咔啦雞腿漢堡 XL 套餐,1x 花生熔岩咔啦雞腿漢堡 XL 套餐"
1月2日,築本屋,444,"2x 腰肉豬排定食,1x 可樂餅 X2"
1月1日,成都滿庭芳 川式料理,334,1x 滿庭芳金湯酸菜魚(大)(適1-2人)
12月31日,京川屋 (台北南京店),267,"2x 麻婆豆腐丼飯,1x 鮮肉雲吞湯"
12月30日,肯德基KFC炸雞漢堡店 (台北承德店),386,"1x 剝皮辣椒紙包雞XL套餐,1x 青花椒香麻咔啦雞腿漢堡 XL 套餐"
12月29日,北倉洞韓式料理,377,2x 韓式牛肉豆腐鍋
12月26日,肯德基KFC炸雞漢堡店 (台北雙連店),340,"1x 青花椒香麻咔啦雞腿漢堡 L 套餐,1x 青花椒香麻咔啦雞腿漢堡 XL 套餐"
12月16日,Maya Resto Cafe,606,"1x pz7 hawaiian夏威夷pizza,1x 6r4	truffle wild mushroom rissoto 黑松露野菇燉飯"
11月27日,築本屋,443,"2x 腰肉豬排定食,1x 可樂餅 X2"
11月26日,Maya Resto Cafe,586,"1x Pz5 Seafood海鮮pizza,1x 6r7	pumkin vege rissoto 南瓜時蔬燉飯"
11月24日,肯德基KFC炸雞漢堡店 (台北南京東三店),390,"1x 花生熔岩咔啦雞腿漢堡 XL 套餐,1x 青花椒香麻咔啦雞腿堡絕配QQ餐(辣)"
11月14日,北倉洞韓式料理,477,2x 韓式牛肉豆腐鍋
11月6日,肯德基KFC炸雞漢堡店 (台北雙連店),485,2x 花生熔岩咔啦雞腿漢堡 XL 套餐
11月5日,Maya Resto Cafe,583,"1x 6r4	truffle wild mushroom rissoto 黑松露野菇燉飯,1x Pz3 Supreme總匯Pizza"
11月4日,SPUKIE (慶城旗艦店),436,"1x 雞肉火腿啤酒腸堡12寸,1x 如購買2個品項以上，建議購買袋子，謝謝您～,1x 舒肥原味雞胸肉堡12寸"
11月3日,北倉洞韓式料理,417,"1x 韓式豬肉豆腐鍋,1x 韓式牛肉豆腐鍋"
11月1日,SPUKIE (慶城旗艦店),436,"1x 雞肉火腿啤酒腸堡12寸,1x 如購買2個品項以上，建議購買袋子，謝謝您～,1x 舒肥原味雞胸肉堡12寸"
10月29日,Maya Resto Cafe,583,"1x Pz6 Truffle Vege Pizza松露蔬菜,1x 6r6	creamy seafood rissoto 奶油海鮮燉飯"
10月27日,麥當勞 (S117 台北民權二店),398,"1x 套餐-BLT 安格斯牛肉堡 BLT Angus Beef Burger Meal,1x 套餐-BLT 安格斯牛肉堡 BLT Angus Beef Burger Meal"
